Start	End	Direction
LEF1	SOX2	1
LEF1	SNAI2	1
LEF1	NKD1	1
LEF1	BIRC2	1
LEF1	AXIN2	1
LEF1	AXIN1	1
LEF1	PPARD	1
LEF1	MYC	1
LEF1	MMP7	1
LEF1	MITF	1
LEF1	JUN	1
LEF1	FOSL1	1
LEF1	CCND3	1
LEF1	CCND2	1
LEF1	CCND1	1
LEF1	BIRC5	1
RBPJ	RUNX3	1
RBPJ	MYC	1
RBPJ	FCER2	1
RBPJ	CR2	1
RBPJ	HEYL	1
RBPJ	HEY2	1
RBPJ	HEY1	1
RBPJ	HES7	1
RBPJ	HES6	1
RBPJ	HES4	1
RBPJ	HES3	1
RBPJ	HES2	1
RBPJ	TBX21	1
RBPJ	IL4	1
RBPJ	GATA3	1
RBPJ	PTCRA	1
RBPJ	HES5	1
RBPJ	HES1	1
RBL1	MYC	1
KMT2D	CDKN2C	1
KMT2D	CDKN2B	1
KMT2D	CDKN2A	1
KMT2D	CDKN1B	1
RBBP5	CDKN2C	1
RBBP5	CDKN2B	1
RBBP5	CDKN2A	1
RBBP5	CDKN1B	1
KMT2A	CDKN2C	1
KMT2A	CDKN2B	1
KMT2A	CDKN2A	1
KMT2A	CDKN1B	1
SOX2	NANOG	1
KLF4	SOX2	1
PSEN1	NOTCH4	1
PSEN1	NOTCH3	1
PSEN1	NOTCH2	1
PSEN1	NOTCH1	1
PRKCQ	IL4	1
PRKCQ	IL13	1
PRKAG3	SPHK2	1
PRKAG3	SPHK1	1
PRKAG3	PPARGC1A	1
PRKAG3	PLIN1	1
PRKAG3	KLF2	1
CREB3L4	CCND1	1
CREB3L4	PTGER4	1
CREB3L4	PCNA	1
CREB3L4	CXCL8	1
CREB3L4	NPY	1
CREB3L4	CRH	1
CREB3L4	FOSB	1
CREB3L4	ARC	1
CREB3L4	PDYN	1
CREB3L4	POMC	1
CREB3L4	TNFSF11	1
CREB3L4	CDKN1A	1
CREB3L4	NCEH1	1
CREB3L4	CYP17A1	1
CREB3L4	CYP11B1	1
CREB3L4	VEGFD	1
CREB3L4	VEGFC	1
CREB3L4	VEGFB	1
CREB3L4	VEGFA	1
CREB3L4	STAR	1
CREB3L4	CYP11B2	1
CREB3L4	SIK1B	1
CREB3L4	SIK1	1
CREB3L4	PPARGC1A	1
CREB3L4	PCK2	1
CREB3L4	PCK1	1
CREB3L4	G6PC3	1
CREB3L4	G6PC2	1
CREB3L4	G6PC	1
CREB3L4	CPT1C	1
CREB3L4	CPT1B	1
CREB3L4	CPT1A	1
CREB3L4	TG	1
CREB3L4	INS	1
CREB3L4	ZNF516	1
CREB3L4	UCP1	1
CREB3L4	MCL1	1
CREB3L4	BCL2	1
CREB3L4	JUN	1
CREB3L4	FOS	1
CREB3L4	BDNF	1
CREB3L4	MITF	1
CREB3L4	AQP2	1
NFE2L2	TXN2	1
NFE2L2	TXN	1
NFE2L2	THBD	1
NFE2L2	SQSTM1	1
NFE2L2	PLAT	1
NFE2L2	NPPC	1
NFE2L2	NOS3	1
NFE2L2	ASS1	1
NFE2L2	TXNRD3	1
NFE2L2	TXNRD2	1
NFE2L2	TXNRD1	1
NFE2L2	NQO1	1
NFE2L2	MGST3	1
NFE2L2	MGST2	1
NFE2L2	MGST1	1
NFE2L2	HMOX1	1
NFE2L2	GSTT2B	1
NFE2L2	GSTT2	1
NFE2L2	GSTT1	1
NFE2L2	GSTP1	1
NFE2L2	GSTO2	1
NFE2L2	GSTO1	1
NFE2L2	GSTM5	1
NFE2L2	GSTM4	1
NFE2L2	GSTM3	1
NFE2L2	GSTM2	1
NFE2L2	GSTM1	1
NFE2L2	GSTA5	1
NFE2L2	GSTA4	1
NFE2L2	GSTA3	1
NFE2L2	GSTA2	1
NFE2L2	GSTA1	1
FOXO4	TNFSF10	1
FOXO4	SOD2	1
FOXO4	S1PR4	1
FOXO4	S1PR1	1
FOXO4	RBL2	1
FOXO4	RAG2	1
FOXO4	RAG1	1
FOXO4	PLK4	1
FOXO4	PLK3	1
FOXO4	PLK2	1
FOXO4	PLK1	1
FOXO4	PCK2	1
FOXO4	PCK1	1
FOXO4	KLF2	1
FOXO4	IL7R	1
FOXO4	GADD45G	1
FOXO4	GADD45B	1
FOXO4	GADD45A	1
FOXO4	GABARAPL2	1
FOXO4	GABARAPL1	1
FOXO4	GABARAP	1
FOXO4	G6PC3	1
FOXO4	G6PC2	1
FOXO4	G6PC	1
FOXO4	FBXO32	1
FOXO4	FBXO25	1
FOXO4	FASLG	1
FOXO4	CDKN2D	1
FOXO4	CDKN2B	1
FOXO4	CDKN1B	1
FOXO4	CDKN1A	1
FOXO4	CCNG2	1
FOXO4	CCND2	1
