Start	End	Type	Weight
5290	5291	0	1
5290	5293	0	1
5290	5295	0	1
5290	5296	0	1
5290	8503	0	1
5291	5293	0	1
5291	5295	0	1
5291	5296	0	1
5291	8503	0	1
5293	5295	0	1
5293	5296	0	1
5293	8503	0	1
5295	5296	0	1
5295	8503	0	1
5296	8503	0	1
5156	5290	1	1
5156	5291	1	1
5156	5293	1	1
5156	5295	1	1
5156	5296	1	1
5156	8503	1	1
6009	2475	1	1
5156	2885	1	1
1956	2885	1	1
6654	6655	0	1
2885	6654	1	1
2885	6655	1	1
3265	3845	0	1
3265	4893	0	1
3845	4893	0	1
6654	3265	1	1
6654	3845	1	1
6654	4893	1	1
6655	3265	1	1
6655	3845	1	1
6655	4893	1	1
3265	5894	1	1
3845	5894	1	1
4893	5894	1	1
5594	5595	0	1
5594	2002	1	1
5595	2002	1	1
5594	6667	1	1
5595	6667	1	1
3685	3690	0	1
3685	6714	1	1
3690	6714	1	1
5879	5880	0	1
5879	5881	0	1
5880	5881	0	1
6714	5879	1	1
6714	5880	1	1
6714	5881	1	1
340061	29110	1	1
29110	3661	1	2
10000	207	0	1
10000	208	0	1
207	208	0	1
1147	3551	0	1
1147	8517	0	1
3551	8517	0	1
10000	1147	1	4
10000	3551	1	4
10000	8517	1	4
207	1147	1	4
207	3551	1	4
207	8517	1	4
208	1147	1	4
208	3551	1	4
208	8517	1	4
5604	5605	0	1
5894	5604	1	2
5894	5605	1	2
5604	5594	1	2
5604	5595	1	2
5605	5594	1	2
5605	5595	1	2
1147	4792	1	4
3551	4792	1	4
8517	4792	1	4
7124	7132	1	2
3553	3554	1	1
8737	8717	0	1
8737	7188	0	1
8737	7186	0	1
8717	7188	0	1
8717	7186	0	1
7188	7186	0	1
7132	8737	1	1
7132	8717	1	1
7132	7188	1	1
7132	7186	1	1
8737	1147	1	1
8737	3551	1	1
8737	8517	1	1
8717	1147	1	1
8717	3551	1	1
8717	8517	1	1
7188	1147	1	1
7188	3551	1	1
7188	8517	1	1
7186	1147	1	1
7186	3551	1	1
7186	8517	1	1
10681	2782	0	1
10681	2783	0	1
10681	2784	0	1
10681	2785	0	1
10681	2786	0	1
10681	2787	0	1
10681	2788	0	1
10681	2790	0	1
10681	2791	0	1
10681	2792	0	1
10681	2793	0	1
10681	51764	0	1
10681	54331	0	1
10681	55970	0	1
10681	59345	0	1
10681	94235	0	1
2782	2783	0	1
2782	2784	0	1
2782	2785	0	1
2782	2786	0	1
2782	2787	0	1
2782	2788	0	1
2782	2790	0	1
2782	2791	0	1
2782	2792	0	1
2782	2793	0	1
2782	51764	0	1
2782	54331	0	1
2782	55970	0	1
2782	59345	0	1
2782	94235	0	1
2783	2784	0	1
2783	2785	0	1
2783	2786	0	1
2783	2787	0	1
2783	2788	0	1
2783	2790	0	1
2783	2791	0	1
2783	2792	0	1
2783	2793	0	1
2783	51764	0	1
2783	54331	0	1
2783	55970	0	1
2783	59345	0	1
2783	94235	0	1
2784	2785	0	1
2784	2786	0	1
2784	2787	0	1
2784	2788	0	1
2784	2790	0	1
2784	2791	0	1
2784	2792	0	1
2784	2793	0	1
2784	51764	0	1
2784	54331	0	1
2784	55970	0	1
2784	59345	0	1
2784	94235	0	1
2785	2786	0	1
2785	2787	0	1
2785	2788	0	1
2785	2790	0	1
2785	2791	0	1
2785	2792	0	1
2785	2793	0	1
2785	51764	0	1
2785	54331	0	1
2785	55970	0	1
2785	59345	0	1
2785	94235	0	1
2786	2787	0	1
2786	2788	0	1
2786	2790	0	1
2786	2791	0	1
2786	2792	0	1
2786	2793	0	1
2786	51764	0	1
2786	54331	0	1
2786	55970	0	1
2786	59345	0	1
2786	94235	0	1
2787	2788	0	1
2787	2790	0	1
2787	2791	0	1
2787	2792	0	1
2787	2793	0	1
2787	51764	0	1
2787	54331	0	1
2787	55970	0	1
2787	59345	0	1
2787	94235	0	1
2788	2790	0	1
2788	2791	0	1
2788	2792	0	1
2788	2793	0	1
2788	51764	0	1
2788	54331	0	1
2788	55970	0	1
2788	59345	0	1
2788	94235	0	1
2790	2791	0	1
2790	2792	0	1
2790	2793	0	1
2790	51764	0	1
2790	54331	0	1
2790	55970	0	1
2790	59345	0	1
2790	94235	0	1
2791	2792	0	1
2791	2793	0	1
2791	51764	0	1
2791	54331	0	1
2791	55970	0	1
2791	59345	0	1
2791	94235	0	1
2792	2793	0	1
2792	51764	0	1
2792	54331	0	1
2792	55970	0	1
2792	59345	0	1
2792	94235	0	1
2793	51764	0	1
2793	54331	0	1
2793	55970	0	1
2793	59345	0	1
2793	94235	0	1
51764	54331	0	1
51764	55970	0	1
51764	59345	0	1
51764	94235	0	1
54331	55970	0	1
54331	59345	0	1
54331	94235	0	1
55970	59345	0	1
55970	94235	0	1
59345	94235	0	1
10681	5290	1	2
10681	5291	1	2
10681	5293	1	2
10681	5295	1	2
10681	5296	1	2
10681	8503	1	2
2782	5290	1	2
2782	5291	1	2
2782	5293	1	2
2782	5295	1	2
2782	5296	1	2
2782	8503	1	2
2783	5290	1	2
2783	5291	1	2
2783	5293	1	2
2783	5295	1	2
2783	5296	1	2
2783	8503	1	2
2784	5290	1	2
2784	5291	1	2
2784	5293	1	2
2784	5295	1	2
2784	5296	1	2
2784	8503	1	2
2785	5290	1	2
2785	5291	1	2
2785	5293	1	2
2785	5295	1	2
2785	5296	1	2
2785	8503	1	2
2786	5290	1	2
2786	5291	1	2
2786	5293	1	2
2786	5295	1	2
2786	5296	1	2
2786	8503	1	2
2787	5290	1	2
